ace-bible.txt	are-bible.txt	ban-bible.txt	bci-bible.txt	blz-bible.txt	bru-bible.txt	btx-bible.txt	bvr-bible.txt	cab-bible.txt	cac-sansebastian.txt	caq-bible.txt	cat-evangelica.txt	ces-living.txt	cha-2003.txt	chf-bible.txt	chr-bible.txt	crn-bible.txt	cym-colloquial2013.txt	dan-hverdagsdansk.txt	deu-newworld.txt	deu-schlachter.txt	dgi-bible.txt	dgr-bible.txt	dts-bible.txt	dur-bible.txt	eng-common.txt	eng-goodnews.txt	esi-bible.txt	esu-bible.txt	etu-bible.txt	ffm-bible.txt	fin-1992.txt	gag-latin.txt	gle-bible.txt	gug-bible.txt	gvn-bible.txt	gwi-bible.txt	hop-bible.txt	hrv-2000.txt	hun-2003.txt	iba-bible.txt	ibo-bible.txt	inb-bible.txt	ind-firman.txt	isl-bible.txt	jpn-colloquial.txt	jra-bible.txt	kaa-latin.txt	khk-bible.txt	kki-bible.txt	kor-1985.txt	kqs-bible.txt	lem-bible.txt	mad-bible.txt	mak-bible.txt	mcb-bible.txt	mco-bible.txt	mhy-bible.txt	mto-bible.txt	myx-bible.txt	naq-bible.txt	nhg-bible.txt	nhw-bible.txt	nld-2007.txt	nya-bible.txt	pab-bible.txt	pah-bible.txt	pib-bible.txt	poi-bible.txt	prk-bible.txt	qub-bible.txt	quy-bible.txt	ron-2006.txt	run-bible.txt	sme-bible.txt	snf-bible.txt	spa-newworld.txt	srq-bible.txt	tac-bible.txt	tgl-1996.txt	thk-bible.txt	tuk-mukaddes.txt	tur-newworld.txt	uig-latin.txt	vie-bandich.txt	wol-bible.txt	yua-bible.txt	zho-contemp.txt	zho-new.txt	zos-bible.txt
40016013	soe	nthakinhama	nyenke	wan	ime	noau	ise	ana-nga	cátanasan	machn	achīö	qui	koho	håyi	caxcajon	gago	a'iqui	pwy	hvem	was	wen	ãa	amìı	aai	nɔ́nná	who	who	kiunisuuvanŋa	kituuniatnga	bhaghé	homo	kuka	kіmіm	cé	mavaha	wanyu	juu	hákiynihqat	tko	kinek	sapa	ònye	pitak	siapakah	hvern	だれ	hlơi	kim	hen	nani	누구라고	vɛ̀ɛ̀	aányɛ́	sapa	inai	tyani	nej	hie	vintso̱se'e	shiina	tariba	öquenu	ajqueya	wie	yani	xala	marãi	katu	ai̱apaap	mawx	imatataj	pim	cine	nde	geanin	ɓa	quién	aba	chieri	ano	n'ûû	kim	kim	kim	ai	kan	máax	誰	誰	ti
40017010	pakon	iwunhangama	napi awinanipun	nzu ti	nongko'upa	nṓq	ngkai	an-nga nula	cáti uágu	tasm yuj	sitih	com	proč	håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvordan	warum	warum	bʋ̃ʋ ƴãw	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin-mi	jen	koɗum waɗi	miksi	neçіn	cad	mba'ére piko	wanyurrinku	jaghaii	hintaqw	zašto	miért	nama kebuah	gini	imapatak	mengapa	hví	なぜ	yua hơgĕt	nege	yaagaad	nhani	왜	le yɛɛ	anyíatɛ́	aponapa	angngapa	tyara ikantakara	nej co	wuah inun	tya̱jxse'e	shiina	mati	tli	para tlen	waarom	bwanji	xoanere hoka	maraname	gi	t́iiga	NA	imanirtaj	imanasqataq	de ce	igiki gituma	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	neden	neme uchun	tại sao	lu tax	ba'ax ten	為什麼	為甚麼	ti'ajcuy
40017019	pakon	iwunhangama	napi awinanipun	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	cásan uágu	tasm yuj	kūöyòh	com	proč	håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvorfor	wie	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	suvluta	ciin	jen é yími kən	koɗum waɗi	miksi	neçіn	cén fáth	mba'ére piko	wanyurrinku	jaghaii	hintaqw	zašto	miért	nama kebuah	n'ìhi gini	imawantak	mengapa	hvers vegna	どうして	yua hơgĕt	nege	yaagaad	nhani	왜	le yɛɛ	anyíatɛ́	aponapa	apa saba'na	tyarika okantakara	nej co	inun	tya̱jxs	ena	tarexa	tlica	para tlen	waarom	chifukwa chiyani	xoanala hoka	maraname	klu chinanu	t́iiga	tix	imanirtaj	imanasqataq	de ce	iki	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	neden	neme uchun	tại sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
40017025a	pakriban	NA	kenken	NA	koi upa	ntrớu	kuga	ny-yinmiya	ída	tas	sitih	què	co	håfa	cache'	gado	a'ini	beth	NA	was	was	ŋmɩn	dàneewǫ	yani	nɛ́nná	what	what	qanuq	qaillun	jen	koɗum	mitä	nasıl	NA	mba'épa	wanyu	juu	hin	što	mit	baka ni	gini	imatak	NA	hvað	どう	hyư̆m	qalay	yuu	nhani	어떻게	vɛ̀ɛ́	anyána	baramma	antekamma	tyara pinkante	nej	kalaawe	vintso̱s	lwashiina	matits	quiene	quenicatza	NA	bwanji	xoanere	marãi	gi	t́i	yuh ka mawx	imatataj	imaninkitaq	ce	gute	mo	ya	qué	NA	chonígobá	ano	ûû	näme	ne	NA	sao	lu	bix	何	怎樣	ti
40017025b	soe	NA	uli dija	wan	ime	noau	ise	aburr-nga	cátaña	machm	chīö	de qui	koho	NA	caxcatac	gago	a'atyaɨnqui	bwy	hvem	wem	wem	na-mɩnɛ	amìı	aa	nóo	whom	who	kisuniñ	kinkunun	énê	homo	keiltä	kіmdän	cé	mávarepa	wanjundumun	juu	hakimuy	NA	kiktől	sapa	ole	pikunatatak	NA	af hverjum	だれ	hlơi	kimlerden	henees	wenhani	누구에게서	nɛ̀ɛ̀aa	báányɛ́	sapa	inai	tyani	pɨn	hie	pa̱n	urye	tarina	öque	ajqueya	van wie	yani	xala	ma'g̃a	katu	i̱	pui mawx	pitataj	pikunamantataq	cine	abahe	geas	ɓiida	de quiénes	aba	chieri	sino	baao	kimden	kimlerden	kimlerdin	của ai	ñan	máax	誰	誰	icøsi
40018001	soe	ngunhama	sirake	ônin	ime	noau	ise	ana-nga	cáteisan	mach	achīö	qui	kdo	håyi	caxca une	gago	a'ataani	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	kiña	kina	énê	homo	kuka	kіm	cé	máva piko	wanju	juu shrit	hak	tko	ki	sapa	ònye	pitak	siapakah	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	pasera	inai	tyani	pɨnjäy	hie	pa̱n	banaanu	tari-e	öquenu	ajqueya	wie	ndani	xala	manamo	girni	i̱	pui mawx	mayganëtaj	pitaq	cine	nde	gii	yiida	quién	aba	chieri	sino	n'ûû	kim	kimdir	kim	ai	kan	máax	誰	誰	ipø
40018012	pakriban	NA	kenken	se	koi upa	nṓq	kuga	a-yinmiya	ída	NA	sitih	què	co	håfa	cache'	gado	a'ini	beth	NA	was	was	ŋmɩn	NA	NA	nɛ́nná	what	what	qanuq	qaillun	nan	ko	mitä	nіcä	cad	mba'épa	wanjarrmalda	deehee'yaa	hin	što	mit	baka ni	gini	imatak	apakah yang	hvað	どう	hyư̆m	qalay	yuu	nhani	어떻게	vɛ̀ɛ̀	aátɛ́	baramma	antekamma	tyara pinkantaige	nej	kalaawe	vintso̱se'e	naanu	mati	quiene	quenicatza	wat	motani	xoanere	NA	gi	t́i	yuh ka mawx	imatataj	imaniwaqchiktaq	ce	gute	mo	ya	qué	NA	choniágó	ano	NA	nähili	ne	NA	sai	luy	bix	怎麼辦	怎樣	ti
40018021	padub	nthakintjarangama	kudake	nnye	piripii	sếq trỗ	piga kali	ngu-yinmiyapa	átiribeísan	jay	ām heuh	quantes vegades	kolikrát	kuånto	jäynum	ilago	a'achuni pua'amua	sawl gwaith	hvor mange gange	wievielmal	wie oft	a ŋmɩn	dàtłǫǫ̀	aŋa baa	nɛ́nná	how many times	how many times	qavsiiqsuaġlugu	qavcirqunek	ébhík	hono foti	kuinka monta kertaa	kaç	cé mhéad uair	mbovy	wanjarrku	deegwaanchy'aa	hihsakis	koliko puta	hányszor	berapa penyuah	ùb͕ò ole	maituku	berapa kali	hve oft	幾たび	hơdôm	neshe	heden udaa	kengahe	몇 번이나	vɛ̀ɛ̀ kpɛ́	bínyie	kantos saponapa kale	pissiapai	akatovaiti	naag'oc	hampe hampire	vinxu̱p	muryeena	matikō ǃnāde	quiejquechpa	hasta quesqui	hoe vaak	kangati	xoanamakiya	maramomi	gi pejnu	ju̱na	miex bawg	ayca cutitaj	hayka kutikamataq	câte ori	kangahe	gallii	cera	cuántas veces	manya	chekisá	ilang beses	magana	näçe	kaç	qanche	mấy lần	ñaata	jay téen	多少	多少	jujche
40019007	pakon	iwunhangantama	napi awinanipun	nzu ti	nongko'upa	nṓq	ngkai	an-nga nula	cáti uágu	tas yuj	kūö yòh	per què	proč	sa' håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvordan	warum	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	suŋiññiŋagaa	ciin-mi	nan	ko saabii	miksi	neçіn	cén fáth	mba'ére piko	NA	jaghaii	hinoqw	zašto	miért	nama kebuah	gini	imapatak	mengapa	hvers vegna	なぜ	yua hơgĕt	nege	yaagaad	nhani	왜	le yɛɛ	anyíatɛ́	aponapa	apa saba'na	tyara okantakara	na'amy	wuah inun	tya̱jxse'e	kyeenga	tarexab	tlica	quenque	waarom	n’chifukwa chiyani	xoana atyo hoka	maraname	gi	t́iiga	tik	imanirtaj	imanasqataq	de ce	igiki catumye	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	neden	neme uchun	sao	lu tax	ba'ax ten	為什麼	為甚麼	por qúe
40019016	peubuet	nthakinhama	sane encen	nzu	koi upa	ntrớu	kuga	gun-nga	cásan	tas	asuh	què	jakými	håfa	cua'	gado usdi	ti'itaani	pa	hvad	was	was	bʋ̃ʋ	ayìı	ingei	ȩn	what	what	sumik	camek	bhaghé	honde	mitä	ne	cad	mba'e	wanjarrmanka	jidii	hihta	koje	mi	nama	gini	ima	apakah yang	hvað	どんな	hơgĕt	qanday	yamar	chaki	어떤	yɛɛ	aátɛ́	ponapa	apa	tatoita	ti	inun	juu'se'e	lwashiina	tare	tli	tlaque	wat voor	n’chiti	xoareya	marãva'ea	klu	t́i	yuh ka mawx	ima	ima	ce	ki	maid	ya	qué	mbae	tachiri	ano	bûrîkû	näme	nasıl	qandaq	gì	lan	ba'ax	什麼	甚麼	ti
40019017	pakon	iwunhangama	apa krana	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	ca uágu	tas yuj	kūöyòh	per què	NA	håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvorfor	warum	was	bʋ̃ʋ n'ʋ so	ayìıha	yani	moo ȩn	why	why	summan	ciin	jen	ko saabii	miksi	neçіn	cén fáth	mba'éicha rupi piko	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	gini	imapatak	NA	hví	なぜ	yua hơgĕt	nege	yuu	nhani	어째서	le yɛɛ	anyíatɛ́	arapa	angngapa	tatoita	na'amy	wuah inun	NA	shiina	tarexats	tlica	para tlen	waarom	bwanji	xoanere hoka	maraname	klu chinanu	t́iiga	NA	imanirtaj	imanasqataq	de ce	iki	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	neyin	nemixqa	sao	lu tax	ba'axten	為什麼	為甚麼	ticøtoya
40019018	toh	nthanha	sane encenke	ônin	koi upa	ntrớu	apai	gu-guyinmiya	cáteigi	'ajm	nup yòh	quins	která	håfa na	catac	gado usdi	ti'itaani	pa rai	hvilke	welche	welche	abobe	dàhòt'ı̨ı̨	NA	téé	which ones	what	nalliŋich	naliit	njə́n	hoɗi	mitä	angılarını	cad	mavaitévapa	wanjarrku	jidii	hihtawata	koje	melyeket	ni	òle	maikankuna	yang mana	hver	どの	hơgĕt	qanday	aliig	agehoki	어느	ɔ́ɔ̀	háányɛ́	ka'dhimma	apa	tyatityo	huɨdibɨ	saawe	juu'se'e	lwashiina	mâde	cötlejuanu	tlaque	welke	wotani	xoarenai	marãva'ea	girni	juppɨc	yuh ka mawx	maygan	mayqan	care	ibihe	guđiid	ciida	cuáles	mbae	tachiri	alin	marîkû	haýsy	hangilerine	qaysi	nào	yan	máacal máac	什麼	甚麼	jutita'mbø
40019020	peue	NA	napi	nzu	upa	ntrớu	kai	gun-nga	cági	NA	asuh	què	co	håfa	caxcamba	gado	ti'itaani	NA	NA	was	was	bʋ̃ʋ n'ʋ	ayìı	ingei	ȩn	what	what	sumik	camek	bhaghé ejûm	koɗum	mitä	ne	cad	mba'éiko	wanjarrmal	deehishi'yaa	hihta	što	mi	nama	gini	imatak	apa	hvers	何	hơgĕt	ne	yuu	choni	무엇입니까	yɛɛ	aátɛ́	ponapa	apapi	NA	ti	inun	tis	NA	tare-e	tli	tlaque	wat	chiyani	xoareya	marã	kluneru	t́i	patix	imataj	imaraqtaq	ce-mi	NA	mii	yiida	qué	mbae	tachiri	ano	NA	näme	ne	nemilerni	gì	lu	ba'ax	什麼	甚麼	ti
40019025	soe	ngunhantama	sirake	wan	ime	noau	ise	ana-nga	cáteiti	macht	achīö	qui	kdo	håyi	caxca une	gagono	ai ta'uj	NA	hvem	wer	wer	ãa	amìı	aai	nóo	who	who	kiñaasii	kina-mi	énê	homo	kuka	kіm	cé	máva piko	wanju	juu dee	hak	tko	kicsoda	sapa	ònye	pisik	siapa	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	pasera	inai	tyanimpatyora	pɨn	hie	pa̱nts	shiina	tari-e	öquenu	ajqueya	wie	ndani	xalaite	ma'g̃a	katni	i̱	pui mawx	piraj	pitaq	cine	nde	gii	ɓa	quién	aba	chieri	sino	NA	kim	kim	kim	ai	kan	máax	誰	誰	i
40019027	peu	iwunhantama	napike	nzu	upa	ntrớu	kai	gun-nga	cábasanti	tasm	asuh	què	co	håfa	cua'	gadono	ti'itaani	beth	hvad	was	was	ŋmɩŋmɩn	ayìı	yani	ȩná	what	what	sumik	camek	jen	koɗum	mitä	ne	cad	mba'éichapa	wanyu	jidii	hintani	što	mi	nama	gini	imatak	apa yang	hvað	何	hơgĕt	nege	yuu	choni	무엇을	vɛɛ	aátɛ́	ponapa	apa	tatarika	ti	inun	tits	naanu	tare xū-e	tli	tlaque	hoe	chiyani	xoanere	gara	klu	t́i	patix	imataraj	imataq	ce	iki	maid	ya	qué	mbae	tachiri	ano	ata	näme	ne	nemige	gì	nu	ba'ax	什麼	甚麼	jujche
40020006	peubuet	iwunhangala	apa krana	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	cásan uágu	tas yuj	kūöyòh	per què	proč	håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvorfor	warum	warum	bʋnʋ ƴãw	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	jen	koɗum waɗi	miksi	neçіn	cad	mba'ére piko	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	gini	imapatak	mengapa	hví	なぜ	yua hơgĕt	nege	yuund	nhani	어째서	le yɛɛ	anyíatɛ́	arapa	angngapa	tyara okantaka	na'amy	wuah inun	tya̱jxts	shiina	tarexa	tlica	para tlen	waarom	chifukwa chiyani	xoare	gara rehe	klu chinanu	t́iiga	pa tix	imanirtaj	imanasqataq	de ce	ko	manne	ya	por qué	mbaerã	chonigá	bakit	n'ata n'ûntû	näme üçin	neden	neme uchun	tại sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
40020021	peue	iwunhakama	napi	nzu	aupa	ntrớu	kai	an-nga	ca	tas	asuh	què	NA	håfa	cua'	gado	a'ini	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı	inge	nɛ́nná	what	what	sumik	camek	jen	koɗum	mitä	ne	cad	mba'épa	wanyurrinku	deeyiindhan	hihta	što	mit	nama	gini	imatak	apa yang	hvað	何	hơgĕt	ne	yuu	choni	무엇이냐	yɛɛ	aátɛ́	arapa'a	apa	tatatyo	ti	inun	tise'e	NA	tare-es	tli	tlaque	wat	chiyani	xoare	gara	klu	t́i	pa tix	imallataraj	imatataq	ce	iki	maid	ya	qué	mbae	tachiri	ano	n'ata	näme	ne	neme	gì	loo	ba'ax	什麼	甚麼	ti
40020032	peue	iwunhangama	apa	nzu	aupa	ntrớu	kai	ngu-yinmiya	ca	tas	asuh	què	co	håfa	cua'	gado	a'ini	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı	ingei	ȩná	what	what	qanuquvisik	qaillun	jen	koɗum	mitä	ne	cad	mba'épa	wanjarrmal	deesho'yaa	hintsanniqat	što	mit	nama	gini	imatak	apakah yang	hvað	何	hơgĕt	ne	yuu	choni	왜	yɛɛ	aátɛ́	apa	apa	tata	ti	inun	tise'e	shiina	tare-e	tli	tlaque	wat	chiyani	xoana	marã	klu	t́i	patix	imata	imatataq	ce	iki	maid	ya	qué	mañɨ	tachiri	ano	n'ata	näme	ne	neme	gì	lu	ba'ax	什麼	甚麼	ti
40021010	soe	ngunhama	nyen	waan	ime	noau	ise	ana-nga	cáteisan	mach	achīö	qui	kdo	håyi	caba	gago	a'ataani	pwy	hvem	wer	wer	ãa	amìı	aai	nɔ́nná	who	who	kiñauvvauna	kina	énê	homo	kuka	kіmdіr	cé	máva piko	wanju	juu	hak’i	tko	kicsoda	sapa	ònye	pisik	siapakah	hver	どなた	hlơi	kim	hen	nani	누구요	nɛ̀ɛ́	aányɛ́	sapa	inai	tyaniratyo	pɨn	hie	pa̱nts	shiina	tariba	öquenu	ajqueya	wie	ndani	xala	mome	katni	i̱apaap	mawx	piraj	pitaq	cine	nde	gii	ɓa	quién	aba	chieri	sino	ûû	kim	kim	kimdu	ai	kan	máax	誰	誰	iyøṉ
40021020	pakriban	NA	napi awinanipun	o yô se	koi upa	nṓq	kuga	gu-yinmiyana	ída	tas	sitih	com	jak	sa' håfa na	cache'da	NA	a'ini	sut	hvordan	wie	wie	ŋmɩŋmɩn	dànıt'à	yani	née	how	how	qanuqłuni	qaillun	nan	hono	kuinka	nasıl	cén chaoi	mba'éicha piko	wanjarrku	deegwiłkhan	NA	kako	hogyan	baka ni	aṅa	imawasik	bagaimana	hvernig	どうして	hyư̆m	qalayınsha	yaaj	yanhani	어떻게	vɛɛ	anyána	NA	antekamma	tyara okantakara	na'amy	kalaawe	vintso̱s	NA	matis	quiene	quenicatza	hoe	bwanji	NA	NA	NA	t́iiga	yuh ka mawx	imanöpataj	imanasqataq	cum	igiki	mo	na	cómo	mañɨ	churigá	paanong	n'ata	nädip	nasıl	qandaqche	làm sao	nan	bix	怎麼	怎樣	NA
40021025a	soe	ngunhalama	saking dijake	NA	ime	léq	i ja nari	ana-nga	ca	mach	yih	d'on	NA	ginen manu	caxca une	harv	a'uni	NA	hvem	woher	woher	nyɩnɛ	amìı	inɛ aa	nóo	where	where	kia	naken	énê	homo	mistä	neredän	cárbh	máva piko	wanjungku	nijin gwats'an	haqaqw	NA	honnan	NA	òle ebe	pitak	NA	hvaðan	どこ	mơ̆ng pă	qayaqtan	haanaas	hoki	어디서	nɛ̀ɛ́	NA	dhari dhimma	inai	tyani	pɨn	hie	pa̱n	naanu	mapa	öquenu	ajqueya	NA	kuti	xala	ma'g̃a	ginaka	i̱	dee mawx	pitaj	pitaq	de unde	hehe	gos	yiida	de dónde	aba	chieri	kanino	kû	nireden	nereden	kim	đâu	fu	máax	哪裡	哪裡	i'is
40021028	pakriban	nthakinhama	sapunapi	NA	koi upa	ntrớu	kuga	NA	NA	tas	sitih	què	jak	håfa	cache'da	gado	a'ini	beth	hvad	was	was	ŋmɩn	NA	yani	nɛ́nná	what	what	qanuq	qaillun	NA	koɗum	mitä	nesoy	NA	mba'épa	NA	deenohthan	hin	što	mit	baka ni	gini	imasatak	bagaimana	hvað	どう	hơgĕt	qalay	yuu	mukonanhani	어떻게	vɛɛ	anyána	baramma	NA	tyarika pinkantaige	nej	kalaawe	vintso̱s	shiina	mati	quiene	tlaque	wat	bwanji	xoanere	marã	gi	t́i	yuh ka mawx	ima	imaninkichiktaq	ce	gute	maid	ya	qué	NA	choniágó	ano	NA	näme	ne	qandaq	sao	lu	ba'ax	怎樣	怎樣	ti
40021031	toh	ngunhama	sane encenan	ônin	ime	aléq	apai	ana-nga	cági	mach	öp yòh öp	quin	který	håyi	caxcamba	gago	a'ataani	pa un	hvem	welcher	welcher	buor	amìı	yagɔi	nóo	which one	which one	nalliakta	kia naliagnek	nnyón	homo	kumpi	angısı	cé acu	mávapa	wanjingka	juu	himuwa	koji	melyik	ni	ònye	maikantak	mana yang	hvor	どちら	hlơi	qaysısı	ali	yehoki	누가	ɔ́ɔ̀	háányɛ́	kemma	kereanga	tyani	huɨdi	saawe	pa̱n	murye	mâba	öquenu	catlique	wie	ndani	xala	manamo	giru	juppɨc	mawx	maygantaj	mayqantaq	care	uwuhe	goabbá	yiida	cuál	ma	chieri	sino	n'ûrîkû	haýsysy	hangisi	qaysisi	ai	kan	máacal máac	哪 一	哪 一	jutipø'is
40021040	peue	nthakinhama	sapunapianga	se	upa	ntrớu	kuga	a-yinmiya	cábagi	tas	sitih	què	co	håfa	cua'	gado	a'ini	beth	hvad	was	was	ŋmɩn	dàgole	inge	née	what	what	qanuġ‌niaqpagich	qaillun	nan	hono	mitä	ne	cad	mba'épa	wanjarrmal	deehee'yaa	hintsanni	što	mit	nama	gini	imatak	apa yang	hvað	どう	hơgĕt	ne	yaah	nhani	어떻게	vɛ̀ɛ̀	aátɛ́	epabaramma	apa	tyarika inkantaigakeri	ti	inun	vintso̱se'e	naanu	matib	tli	tlaque	wat	chiyani	xoanaite	marã	gi	t́i	pa tix	imatataj	imatataq	ce	ate	maid	ya	qué	mañɨ	cholámalawé	ano	n'ata	näme	ne	qandaq	gì	na	ba'ax	怎樣	怎樣	ti
40022012	pakriban	nthakinhala	apa	o yô se	koi upa	nṓq	ngkai	ana-nga	ída	tas yuj	sitih	com	jak	taimanu	cua' uc'a	gadono	a'ini	sut	hvordan	wie	wie	ŋmɩŋmɩn	dànìghǫ	yani	née	how	how	qanuqłutin	qaillun	nan	hono	kuinka	nesoy	cad	mba'éicha piko	wanjarrku	nats'ahts'ą'	hin	kako	hogyan	baka ni	aṅa	imapatak	bagaimana	hvernig	どうして	hyư̆m	qalay	herhen	nhani	어째서	vɛɛ	anyána	baramma	antekamma	tyara pikantaka	nej	kala awe	vintso̱	aryeena	matits	quiene	tlaque	hoe	bwanji	aliyakere	marã	gi pixpoko	jutsa̱	patix	imanöpataj	imanasqataq	cum	ute	mo	na	cómo	mbaerã	churigá	bakit	n'ata	nädip	nasıl	qandaq	sao	naka	bix	怎麼	怎	ticøtoyai
40022018	pakon	iwukama	apa	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	ca uágu	tas yuj	kūöyòh	per què	proč	sa' håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvorfor	warum	was	bʋ̃ʋ n'ʋ so	ayìıha	inge dɛi	moo ȩn	why	why	summan	ciin	énê	koɗum waɗi	miksi	neçіn	cad	mba'ére piko	NA	jaghaii	hinoqw	zašto	mit	nama kebuah	gini	imapatak	mengapa	hví	なぜ	yua hơgĕt	nege	yuund	nhani	왜	le yɛɛ	anyíatɛ́	arapa	angngapa	tyara okantakara	na'amy	wuah inun	tya̱jxts	urye	tarexa	tlica	quenque	waarom	mundiyeseranji	xoana hoka	maranameuhũ	klu chinanu	t́iiga	yuh ka mawx	imanirtaj	imanasqataq	de ce	iki	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	neden	nemixqa	tại sao	lu tax	ba'ax ten	為什麼	為甚麼	ticøtoya
40022020a	soe	ngunhaka	enyen	wan	ime	noau	ise	ana-nga	ca	mach	chīö	de qui	čí	håyi	caxca	gago	a'ataani	pwy	hvem	wessen	wessen	ãa	amìı	aa mɔi	nóo woolá	whose	whose	kiñauna	kia	énê	homo	kenen	kіmіn	cé	máva	wanjuyimbu	juu	hakiy	čiji	kié	sapa	ònye	pipa	siapakah	hvers	だれの	hlơi	kimnin'	henii	yani	NA	nɛ̀ɛ́	aányɛ́	sapa	inai	tyani	pɨn	hie	pa̱n	lwashiina	tarib	öqueniji	ajqueya	wiens	n’chayani	xala	ma'g̃a	katunni	i̱	pui mawx	pï	pipa	cui	nde	gean	wuu ɓa	de quién	aba	chieri	kaninong	ûû	kimiňki	kime	kimning	của ai	kan	máax	誰的	誰的	i'is
40022036	toh	NA	sane encen	ônin	koi upa	ntrớu	apai	gun-ngiya	cásan	'aja	ap yòh	quin	které	håfa	camba	gado usdi	ti'itaani	pa un	hvilket	welches	welches	buor	ayìı	yagɔi	tɛ́lá	what	which	nalliat	naliat	bhaghé	honde	mikä	angı	cén	mávapa	wanjinyaku	jidii	himuwa	koja	melyik	ni	òle	maikantak	manakah yang	hvert	どの	hơgĕt	qaysı	ali	dihoki	어느	ɔ́ɔ̀	háányɛ́	ka'imma	kereanga	tyati	ma	sa awe	juu's	naanu	mâ	cötlaja	tlaque	wat	NA	xoare	manamo	girni	juppɨc	yuh ka mawx	maygantaj	mayqantaq	care	irihe	guhtemuš	yiida	cuál	ma	tachiri	alin	rîrîkû	näme	hangisidir	qaysi	nào	ban	macalmáac	哪 一	哪 一	jutipø
40022042a	peue	nthakinhama	NA	se	koi upa	ntrớu	kuga	gun-nga	cásan	tas	sitih	què	co	håfa	cache'da	gado	a'ini	beth	hvad	wie	was	ŋmɩŋmɩn	NA	yani	née	what	what	qanuq	qaillun	NA	koɗum	mitä	ne	cad	mba'épa	NA	deeyųųhthan	hin	što	hogyan	baka ni	gini	imasatak	bagaimana	hvað	どう	hơgĕt	ne	yuu	nhani	어떻게	vɛ̀ɛ̀	aátɛ́	baramma	antekamma	tyara pikantaigi	nej	kalaawe	vintso̱s	shiina	mati	tli	tlaque	hoe	bwanji	xoare	marã	gi	t́i	yuh ka mawx	NA	imaninkichiktaq	ce	mute	maid	ya	qué	aba	choniágó	ano	n'ûû	näme	ne	neme	thế nào	lu	ba'ax	何	怎樣	ti
40022042b	soe	ngunhaka	sapasirake	wan	ime	noau	ise	ana-nga	cásan	mach	chīö	de qui	čí	håyi	caxca	gago	a'ataan	pwy	hvem	wessen	wessen	ãa	amìı	inɛ aa	nóo woolá	whose	whose	kia	kia	énê	homo	kenen	kіmіn	cé	máva	wanjundumun	juu	hakiy	čiji	kinek	sapa	onye	pipa	siapakah	hvers	だれの	hlơi	kimnin'	henii	wani	누구의	nɛ̀ɛ́	aányɛ́	sapa	nai	tyani	pɨn	hie	pa̱n	murye	tarib	öque	ajqueya	van wie	wa yani	xala	ma'g̃a	katuklopishni	i̱	mawx	pï	pipa	cui	nde	gean	ɓa	de quién	aba	chieri	kanino	ûû	kimiň	kimin	kimning	của ai	kan	máaxi'	誰的	誰的	i'ise
